distance_km;altitude_m;altitude_moyenne_5;d_plus;d_moins
23,7;21;25,6;0;11
23,8;30;22,2;9;0
23,9;14;18,4;0;16
24;14;16,2;0;0
24,1;13;14;0;1
24,2;10;15,6;0;3
24,3;19;17;9;0
24,4;22;19,8;3;0
24,5;21;26,2;0;1
24,6;27;30;6;0
24,7;42;30,6;15;0
24,8;38;32,8;0;4
24,9;25;35,2;0;13
25;32;36,8;7;0
25,1;39;39,6;7;0
25,2;50;40;11;0
25,3;52;41;2;0
25,4;27;39,6;0;25
25,5;37;34,4;10;0
25,6;32;28;0;5
25,7;24;29,4;0;8
25,8;20;26,4;0;4
25,9;34;22,6;14;0
26;22;23,4;0;12
26,1;13;24,4;0;9
26,2;28;24,2;15;0
26,3;25;27;0;3
26,4;33;30;8;0
26,5;36;30,2;3;0
26,6;28;30;0;8
26,7;29;28,2;1;0
26,8;24;23,8;0;5
26,9;24;20,8;0;0
27;14;16,6;0;10
27,1;13;15,6;0;1
27,2;8;14;0;5
27,3;19;15,2;11;0
27,4;16;16,4;0;3
27,5;20;16,4;4;0
27,6;19;14;0;1
27,7;8;13,2;0;11
27,8;7;12;0;1
27,9;12;9,4;5;0
28;14;11,2;2;0
28,1;6;13,8;0;8
28,2;17;16,8;11;0
28,3;20;19,2;3;0
28,4;27;23,4;7;0
28,5;26;26,2;0;1
28,6;27;26,4;1;0
28,7;31;27,4;4;0
28,8;21;30,8;0;10
28,9;32;30,2;11;0
29;43;25,6;11;0
29,1;24;26,8;0;19
29,2;8;22,6;0;16
29,3;27;18,8;19;0
29,4;11;21,6;0;16
29,5;24;28,2;13;0
29,6;38;31,8;14;0
29,7;41;37,8;3;0
29,8;45;38,8;4;0
29,9;41;36,8;0;4
30;29;33,2;0;12
30,1;28;27,2;0;1
30,2;23;21,6;0;5
30,3;15;22,8;0;8
30,4;13;25,6;0;2
30,5;35;29,6;22;0
30,6;42;35,2;7;0
30,7;43;41,2;1;0
30,8;43;42,6;0;0
30,9;43;41,2;0;0
31;42;40;0;1
31,1;35;38,6;0;7
31,2;37;34,8;2;0
31,3;36;29,4;0;1
31,4;24;27,6;0;12
31,5;15;25,8;0;9
31,6;26;23,8;11;0
31,7;28;22,6;2;0
31,8;26;22,2;0;2
31,9;18;19,4;0;8
32;13;15,6;0;5
32,1;12;12,2;0;1
32,2;9;11,2;0;3
32,3;9;10;0;0
32,4;13;11;4;0
32,5;7;12,8;0;6
32,6;17;12,8;10;0
32,7;18;12;1;0
32,8;9;12,2;0;9
32,9;9;10,6;0;0
33;8;9,2;0;1
33,1;9;9,4;1;0
33,2;11;10;2;0
33,3;10;13;0;1
33,4;12;16;2;0
33,5;23;16;11;0
33,6;24;19,6;1;0
33,7;11;21,8;0;13
33,8;28;20;17;0
33,9;23;19;0;5
34;14;20;0;9
34,1;19;18;5;0
34,2;16;18,6;0;3
34,3;18;19,6;2;0
34,4;26;19,2;8;0
34,5;19;21,6;0;7
34,6;17;23,2;0;2
34,7;28;23,8;11;0
34,8;26;25,6;0;2
34,9;29;27,2;3;0
35;28;26,2;0;1
35,1;25;26,6;0;3
35,2;23;25,8;0;2
35,3;28;23;5;0
35,4;25;20,8;0;3
35,5;14;20;0;11
35,6;14;17,6;0;0
35,7;19;17,2;5;0
35,8;16;20,4;0;3
35,9;23;21;7;0
36;30;20,8;7;0
36,1;17;20,8;0;13
36,2;18;18,6;1;0
36,3;16;14,8;0;2
36,4;12;16;0;4
36,5;11;17,4;0;1
36,6;23;18,2;12;0
36,7;25;17,8;2;0
36,8;20;18;0;5
36,9;10;16;0;10
37;12;14;2;0
37,1;13;13,2;1;0
37,2;15;14,6;2;0
37,3;16;14,2;1;0
37,4;17;14,6;1;0
37,5;10;13,8;0;7
37,6;15;14,4;5;0
37,7;11;14,8;0;4
37,8;19;14,2;8;0
37,9;19;13,2;0;0
38;7;13;0;12
38,1;10;13,8;3;0
38,2;10;12,2;0;0
38,3;23;13;13;0
38,4;11;14,4;0;12
38,5;11;16,6;0;0
38,6;17;14;6;0
38,7;21;15,6;4;0
38,8;10;17,4;0;11
38,9;19;17,6;9;0
39;20;18,4;1;0
39,1;18;21,8;0;2
39,2;25;23,2;7;0
39,3;27;24,8;2;0
39,4;26;25,6;0;1
39,5;28;25,4;2;0
39,6;22;26;0;6
39,7;24;26,4;2;0
39,8;30;24;6;0
39,9;28;22,6;0;2
40;16;22;0;12
40,1;15;21;0;1
40,2;21;20,6;6;0
40,3;25;22,4;4;0
40,4;26;24;1;0
40,5;25;24,6;0;1
40,6;23;23,8;0;2
40,7;24;21,6;1;0
40,8;21;20,2;0;3
40,9;15;21;0;6
41;18;20,2;3;0
41,1;27;20,8;9;0
41,2;20;23;0;7
41,3;24;25;4;0
41,4;26;25;2;0
41,5;28;26,2;2;0
41,6;27;27,4;0;1
41,7;26;28;0;1
41,8;30;27,8;4;0
41,9;29;26,8;0;1
42;27;25,6;0;2
42,1;22;22,2;0;5
